Name,Cost,Stops,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Duration,Notes
Masaya - Matagalpa,15,"Masaya Nicaragua, Matagalpa Nicaragua","18:00,18:45","18:00,18:45","18:00,18:45","18:00,18:45","18:00,18:45","18:00,18:45","18:00,18:45",252,
Masaya - Boaco/Rio Blanco,18,"Masaya Nicaragua, Boaco Nicaragua, Rio Blanco Nicaragua",5:30,5:30,5:30,5:30,5:30,5:30,5:30,56,
Chinandega - Matagalpa,17,"Chinandega Nicaragua, Matagalpa Nicaragua","05:30,14:45,15:00","05:30,14:45,15:00","05:30,14:45,15:00","05:30,14:45,15:00","05:30,14:45,15:00","05:30,14:45,15:00","05:30,14:45,15:00",244,
Managua - Esquipulas,30,"Managua Nicaragua, Esquipulas Nicaragua","06:25,08:20,12:25,13:25,14:50,15:50","06:25,08:20,12:25,13:25,14:50,15:50","06:25,08:20,12:25,13:25,14:50,15:50","06:25,08:20,12:25,13:25,14:50,15:50","06:25,08:20,12:25,13:25,14:50,15:50","06:25,08:20,12:25,13:25,14:50,15:50","06:25,08:20,12:25,13:25,14:50,15:50",240,
Managua - Terrebona,13,"Managua Nicaragua, Terrebona Nicaragua","12:35,13:55","12:35,13:55","12:35,13:55","12:35,13:55","12:35,13:55","12:35,13:55","12:35,13:55",268,
Managua - Siuna,28,"Managua Nicaragua, Siuna Nicaragua","04:00,04:30,15:10,17:00,20:00","04:00,04:30,15:10,17:00,20:00","04:00,04:30,15:10,17:00,20:00","04:00,04:30,15:10,17:00,20:00","04:00,04:30,15:10,17:00,20:00","04:00,04:30,15:10,17:00,20:00","04:00,04:30,15:10,17:00,20:00",285,
Managua - Rosita,30,"Managua Nicaragua, Rosita Nicaragua",5:30,5:30,5:30,5:30,5:30,5:30,5:30,178,
Managua - Puerto Cabezas,23,"Managua Nicaragua, Puerto Cabezas Nicaragua",9:15,9:15,9:15,9:15,9:15,9:15,9:15,68,
Managua - Rio Blanco,19,"Managua Nicaragua, Rio Blanco Nicaragua","09:15,10:15,11:15,12:15,15:40","09:15,10:15,11:15,12:15,15:40","09:15,10:15,11:15,12:15,15:40","09:15,10:15,11:15,12:15,15:40","09:15,10:15,11:15,12:15,15:40","09:15,10:15,11:15,12:15,15:40","09:15,10:15,11:15,12:15,15:40",81,
Matagalpa - Esteli,19,"Matagalpa Nicaragua, Esteli Nicaragua","07:20,07:50,08:20,08:50,09:20,09:50,10:20,10:50,11:20,11:50,12:20,12:50,13:20,13:50,14:20,14:50,15:20,15:50,16:20,16:50,17:20,17:50","07:20,07:50,08:20,08:50,09:20,09:50,10:20,10:50,11:20,11:50,12:20,12:50,13:20,13:50,14:20,14:50,15:20,15:50,16:20,16:50,17:20,17:50","07:20,07:50,08:20,08:50,09:20,09:50,10:20,10:50,11:20,11:50,12:20,12:50,13:20,13:50,14:20,14:50,15:20,15:50,16:20,16:50,17:20,17:50","07:20,07:50,08:20,08:50,09:20,09:50,10:20,10:50,11:20,11:50,12:20,12:50,13:20,13:50,14:20,14:50,15:20,15:50,16:20,16:50,17:20,17:50","07:20,07:50,08:20,08:50,09:20,09:50,10:20,10:50,11:20,11:50,12:20,12:50,13:20,13:50,14:20,14:50,15:20,15:50,16:20,16:50,17:20,17:50","07:20,07:50,08:20,08:50,09:20,09:50,10:20,10:50,11:20,11:50,12:20,12:50,13:20,13:50,14:20,14:50,15:20,15:50,16:20,16:50,17:20,17:50","07:20,07:50,08:20,08:50,09:20,09:50,10:20,10:50,11:20,11:50,12:20,12:50,13:20,13:50,14:20,14:50,15:20,15:50,16:20,16:50,17:20,17:50",91,
Esteli - Matagalpa,30,"Esteli Nicaragua, Matagalpa Nicaragua","05:15,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:45","05:15,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:45","05:15,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:45","05:15,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:45","05:15,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:45","05:15,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:45","05:15,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:45",66,
